cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
IR,364,IRN,IRI,True,Asia,False,1648195.0,83992953,IRN,officially-assigned,True,Southern Asia
ZM,894,ZMB,ZAM,True,Africa,True,752612.0,18383956,ZAM,officially-assigned,True,Eastern Africa
ET,231,ETH,ETH,True,Africa,True,1104300.0,114963583,ETH,officially-assigned,True,Eastern Africa
MO,446,MAC,,False,Asia,False,30.0,649342,MAC,officially-assigned,False,Eastern Asia
GT,320,GTM,GUA,True,Americas,False,108889.0,16858333,GUA,officially-assigned,True,Central America
MQ,474,MTQ,,False,Americas,False,1128.0,378243,,officially-assigned,False,Caribbean
SR,740,SUR,SUR,True,Americas,False,163820.0,586634,SUR,officially-assigned,True,South America
UY,858,URY,URU,True,Americas,False,181034.0,3473727,URU,officially-assigned,True,South America
IT,380,ITA,ITA,True,Europe,False,301336.0,59554023,ITA,officially-assigned,True,Southern Europe
NC,540,NCL,,False,Oceania,False,18575.0,271960,NCL,officially-assigned,False,Melanesia
FJ,242,FJI,FIJ,True,Oceania,False,18272.0,896444,FIJ,officially-assigned,True,Melanesia
AW,533,ABW,ARU,False,Americas,False,180.0,106766,ARU,officially-assigned,False,Caribbean
ST,678,STP,STP,True,Africa,False,964.0,219161,STP,officially-assigned,True,Middle Africa
CH,756,CHE,SUI,True,Europe,True,41284.0,8654622,SUI,officially-assigned,True,Western Europe
CD,180,COD,COD,True,Africa,False,2344858.0,108407721,COD,officially-assigned,True,Middle Africa
FI,246,FIN,FIN,True,Europe,False,338424.0,5530719,FIN,officially-assigned,True,Northern Europe
MT,470,MLT,MLT,True,Europe,False,316.0,525285,MLT,officially-assigned,True,Southern Europe
SV,222,SLV,ESA,True,Americas,False,21041.0,6486201,SLV,officially-assigned,True,Central America
JO,400,JOR,JOR,True,Asia,False,89342.0,10203140,JOR,officially-assigned,True,Western Asia
TK,772,TKL,,False,Oceania,False,12.0,1411,,officially-assigned,False,Polynesia
NR,520,NRU,NRU,True,Oceania,False,21.0,10834,,officially-assigned,True,Micronesia
PL,616,POL,POL,True,Europe,False,312679.0,37950802,POL,officially-assigned,True,Central Europe
MR,478,MRT,MTN,True,Africa,False,1030700.0,4649660,MTN,officially-assigned,True,Western Africa
