cca3,language,gender,demonym
IRN,eng,f,Iranian
IRN,eng,m,Iranian
IRN,fra,f,Iranienne
IRN,fra,m,Iranien
ZMB,eng,f,Zambian
ZMB,eng,m,Zambian
ZMB,fra,f,Zambienne
ZMB,fra,m,Zambien
ETH,eng,f,Ethiopian
ETH,eng,m,Ethiopian
ETH,fra,f,Éthiopienne
ETH,fra,m,Éthiopien
MAC,eng,f,Macanese
MAC,eng,m,Macanese
MAC,fra,f,Macanaise
MAC,fra,m,Macanais
GTM,eng,f,Guatemalan
GTM,eng,m,Guatemalan
GTM,fra,f,Guatémaltèque
GTM,fra,m,Guatémaltèque
MTQ,eng,f,Martinican
MTQ,eng,m,Martinican
MTQ,fra,f,Martiniquaise
MTQ,fra,m,Martiniquais
SUR,eng,f,Surinamer
SUR,eng,m,Surinamer
SUR,fra,f,Surinamaise
SUR,fra,m,Surinamais
URY,eng,f,Uruguayan
URY,eng,m,Uruguayan
URY,fra,f,Uruguayenne
URY,fra,m,Uruguayen
ITA,eng,f,Italian
ITA,eng,m,Italian
ITA,fra,f,Italienne
ITA,fra,m,Italien
NCL,eng,f,New Caledonian
NCL,eng,m,New Caledonian
NCL,fra,f,Néo-Calédonienne
NCL,fra,m,Néo-Calédonien
FJI,eng,f,Fijian
FJI,eng,m,Fijian
FJI,fra,f,Fidjienne
FJI,fra,m,Fidjien
ABW,eng,f,Aruban
ABW,eng,m,Aruban
ABW,fra,f,Arubaise
ABW,fra,m,Arubais
STP,eng,f,Sao Tomean
STP,eng,m,Sao Tomean
STP,fra,f,Santoméenne
STP,fra,m,Santoméen
CHE,eng,f,Swiss
CHE,eng,m,Swiss
CHE,fra,f,Suisse
CHE,fra,m,Suisse
COD,eng,f,Congolese
COD,eng,m,Congolese
COD,fra,f,Congolaise
COD,fra,m,Congolais
FIN,eng,f,Finnish
FIN,eng,m,Finnish
FIN,fra,f,Finlandaise
FIN,fra,m,Finlandais
MLT,eng,f,Maltese
MLT,eng,m,Maltese
MLT,fra,f,Maltaise
MLT,fra,m,Maltais
SLV,eng,f,Salvadoran
SLV,eng,m,Salvadoran
SLV,fra,f,Salvadorienne
SLV,fra,m,Salvadorien
JOR,eng,f,Jordanian
JOR,eng,m,Jordanian
JOR,fra,f,Jordanienne
JOR,fra,m,Jordanien
TKL,eng,f,Tokelauan
TKL,eng,m,Tokelauan
TKL,fra,f,
TKL,fra,m,
NRU,eng,f,Nauruan
NRU,eng,m,Nauruan
NRU,fra,f,Nauruane
NRU,fra,m,Nauruan
POL,eng,f,Polish
POL,eng,m,Polish
POL,fra,f,Polonaise
POL,fra,m,Polonais
MRT,eng,f,Mauritanian
MRT,eng,m,Mauritanian
MRT,fra,f,Mauritanienne
MRT,fra,m,Mauritanien
WLF,eng,f,Wallis and Futuna Islander
WLF,eng,m,Wallis and Futuna Islander
WLF,fra,f,
WLF,fra,m,
ATA,eng,f,Antarctican
ATA,eng,m,Antarctican
ATA,fra,f,Antarcticaine
ATA,fra,m,Antarcticain
GUM,eng,f,Guamanian
GUM,eng,m,Guamanian
GUM,fra,f,
GUM,fra,m,
MKD,eng,f,Macedonian
MKD,eng,m,Macedonian
MKD,fra,f,Macédonienne
MKD,fra,m,Macédonien
TGO,eng,f,Togolese
TGO,eng,m,Togolese
TGO,fra,f,Togolaise
TGO,fra,m,Togolais
MMR,eng,f,Burmese
MMR,eng,m,Burmese
MMR,fra,f,Birmane
MMR,fra,m,Birman
QAT,eng,f,Qatari
QAT,eng,m,Qatari
QAT,fra,f,Qatarienne
QAT,fra,m,Qatarien
FRA,eng,f,French
FRA,eng,m,French
FRA,fra,f,Française
FRA,fra,m,Français
MYT,eng,f,Mahoran
MYT,eng,m,Mahoran
MYT,fra,f,Mahoraise
MYT,fra,m,Mahorais
NFK,eng,f,Norfolk Islander
NFK,eng,m,Norfolk Islander
NFK,fra,f,Norfolkaise
NFK,fra,m,Norfolkais
SYC,eng,f,Seychellois
SYC,eng,m,Seychellois
SYC,fra,f,Seychelloise
SYC,fra,m,Seychellois
MDA,eng,f,Moldovan
MDA,eng,m,Moldovan
MDA,fra,f,Moldave
MDA,fra,m,Moldave
SSD,eng,f,South Sudanese
SSD,eng,m,South Sudanese
SSD,fra,f,Sud-Soudanaise
SSD,fra,m,Sud-Soudanais
BRN,eng,f,Bruneian
BRN,eng,m,Bruneian
BRN,fra,f,Brunéienne
BRN,fra,m,Brunéien
JPN,eng,f,Japanese
JPN,eng,m,Japanese
JPN,fra,f,Japonaise
JPN,fra,m,Japonais
GRD,eng,f,Grenadian
GRD,eng,m,Grenadian
GRD,fra,f,Grenadienne
GRD,fra,m,Grenadien
ESP,eng,f,Spanish
ESP,eng,m,Spanish
ESP,fra,f,Espagnole
